idx,submittime,costtime,source,detail,text_id,M1-1,M1-2,M1-3,M1-4,M1-5,M1-6,M2-1,M2-2,M2-3,M2-4,M2-5,M2-6,M3-1,M3-2,M3-3,M3-4,M3-5,M4-1,M4-2,M4-3,M4-4,total_score,text,label,emotion,M1,M2,M3,M4
205,2019/12/4 12:20:28,487秒,样本服务,,4,2,3,2,3,4,3,4,4,3,4,2,3,1,2,3,2,1,2,3,2,3,56,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,17,20,9,10
206,2019/12/4 12:21:04,117秒,样本服务,,5,3,4,2,3,2,4,4,4,3,4,3,4,3,3,3,2,2,1,2,1,1,58,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,18,22,13,5
207,2019/12/4 17:03:40,212秒,样本服务,,2,3,2,3,2,3,2,3,2,4,3,2,4,3,4,3,2,4,3,4,3,4,63,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,15,18,16,14
208,2019/12/4 17:04:46,130秒,样本服务,,1,2,3,1,1,1,2,3,3,4,4,4,4,1,2,2,1,1,1,3,4,1,48,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,10,22,7,9
209,2019/12/4 17:06:29,126秒,样本服务,,4,1,3,3,1,1,3,4,4,3,3,4,3,4,3,4,2,3,3,4,3,3,62,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,12,21,16,13
210,2019/12/4 17:06:34,171秒,样本服务,,5,3,2,4,3,3,1,3,4,3,3,2,2,3,3,3,3,3,3,3,2,3,59,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,16,17,15,11
211,2019/12/4 17:07:25,117秒,样本服务,,2,1,2,1,1,2,2,2,3,3,4,3,3,2,2,2,1,1,1,3,2,1,42,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,9,18,8,7
212,2019/12/4 17:07:41,119秒,样本服务,,1,3,4,3,3,3,4,4,4,3,4,3,4,3,3,3,3,3,3,4,3,3,70,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,20,22,15,13
213,2019/12/4 17:08:00,136秒,样本服务,,5,3,4,3,3,3,4,4,4,3,3,4,3,4,3,4,3,4,4,3,4,3,73,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,20,21,18,14
214,2019/12/4 17:10:15,386秒,样本服务,,1,3,4,2,3,3,3,4,4,4,3,4,3,4,3,3,2,1,2,2,2,3,62,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,18,22,13,9
