friends_count,repostNum,followers_count,weiboID
73,0,11,3902971530557779
157,0,1990,3902933861126858
99,0,15,3903675313184855
232,0,42,3903229295060569
204,0,19,3902711348864728
114,0,4,3903345167164742
88,0,947,3903100534749299
362,0,431,3903072390798054
26,0,18,3903097829440343
2007,1,56,3903059836568245
39,0,4,3903097002563623
460,0,107,3903028107019777
16,0,12,3903094608030912
34,0,1,3903027423563373
66,0,1,3903024621824093
56,0,9,3903094586634081
12,0,7,3903024034445968
204,0,25,3903023925155040
10,0,2,3903091050775358
265,0,34,3903023321383203
68,0,7,3904372365323876
47,0,14,3903021291326611
591,78,225,3903085107993045
277,0,107,3903726454495048
191,0,133,3903081542263665
2003,0,921,3903551593934058
41,0,5,3903018896319354
44,0,40,3903029969161462
33,0,4,3903030321891201
126,0,23,3903218918595788
32,0,2,3903034067735520
44,1,40,3903030673596529
30,0,4,3903215093684304
26,0,3,3903198894589996
47,0,22,3903033962464680
81,0,54,3903037238523262
0,0,4,3903037996879522
78,0,4,3903042132607388
7,0,6,3903043370596508
6,0,3,3903037062248544
53,0,14,3903041503749325
84,0,3,3903044431721560
93,0,12,3903044934358803
109,0,17,3904850234234043
4,0,1,3903045324618002
84,0,3,3903044578087276
117,0,30,3903051490638175
363,2,42,3903052543044804
66,0,17,3902824049790883
17,0,2,3904638245978670
25,0,3,3904374214710438
173,1,110,3903685035966850
63,0,11,3903610339740934
40,1,23,3903625489070891
480,0,4570,3903271607177753
98,0,29,3903622574732148
138,0,9,3903263176957816
881,0,124,3904358494070838
255,0,174,3903257019465859
237,0,10233,3903603473241546
120,0,38,3903555427350581
89,0,5,3903252607563816
15,0,7,3904153691058712
120,0,38,3903555339220523
41,0,13,3904056688447147
33,0,1,3903249369012313
172,3,23,3903244700882609
41,0,6,3904049026170041
40,0,13,3904038116010551
25,1,13,3903548527921954
31,1,8,3904784911897168
1000,5,6598,3903242012028249
37,0,5,3903422291545396
147,2,83,3903301206520986
130,0,24,3903297536644891
78,0,75,3903296005613761
211,0,25,3903405674205028
299,0,70,3903294760373722
159,5,57,3903289684891174
67,0,2,3903375437670595
989,6,5564,3903360074161901
2559,2,2461,3903281883974387
16,0,1,3903281342812912
55,3,12,3903351102539040
89,0,82,3903341182898067
2000,0,213,3903278007547441
296,1,72,3903305274829619
24,4,2,3903304012844830
31,0,8,3904783708564961
