friends_count,repostNum,followers_count,weiboID
286,0,3037,3647097846946616
603,0,16185,3963021619306109
332,1,9112,4009474689124582
591,0,112410,4005139050214955
248,21,2459,3477141465032245
299,4,7790,3989647174717777
1956,1721,47858146,4010139189039503
810,1,595892,4007252928827876
536,7,170617,4009516485544852
70,0,1856,3507899651315109
47,0,398,3451053033313109
687,0,11667,3721081741242629
1203,0,12336,3908285939451419
156,0,45374,3423446513710199
1616,3,2087658,3995426535636783
281,0,19177,4004509804230998
319,1,90610,3837001831153014
177,0,260098,4003967300694185
212,0,51020,4006932446363921
657,1,7728,3864094928964862
558,6,355877,4010254335219668
182,0,4132,3918560138925572
338,0,2529,3358197467839400
768,0,4999,3997461154889345
858,4,3442,3553163611016326
149,0,5893,4008683035550273
499,2,2451,3423079529249697
1020,0,163026,4010310455146471
468,0,10836,4010133811742662
442,3,26390,3627477291742421
1954,238,8479186,4010112794566986
515,31,205479,4010134511831765
1065,991,74888,3766610093366010
259,0,2111,3778214835495058
524,2,379652,4010254083107493
371,199,24442248,3928289414133447
34,0,604,3741317945528451
325,0,13393,3855348027341215
144,3,73333,4008776895822543
411,0,27934,3948328213092579
1639,2,207521,4009831276287330
774,0,5784,3909740528182517
936,0,50977,3978250097618866
338,2,734397,4010024571130018
228,0,885,3620944465240196
295,0,138539,4009103251073639
152,1,59871,4009759734350746
55,4,2619,3515589895397250
455,400,9109218,4009745805193874
1921,1,72025,4004681967068071
418,0,4835679,4010246609861111
272,0,18366,4010140908833751
774,505,23753319,4010247540040190
133,2,7365,3346285478847242
764,2,1370,3517638053138668
303,3,342658,4008839685219974
452,0,11117,4004074049144454
5000,768,33076115,4010125750109456
319,0,90610,3835118189334393
1224,0,66043,3845212285769709
639,5,454307,4010221943128514
113,0,35716,3952903633321336
1054,10,2033504,4010114127833495
1234,0,337163,4004320406497190
126,0,11140,3859860766961633
589,11,8597,3709786492997395
1668,39,8137236,4010075317974994
643,2,11433,3703412522543050
668,35,4812521,4003734268340596
348,10,2165098,4009949225023393
195,1,91263,4009486085006767
1887,4,516556,4007980095174145
261,18,471982,4008692799532962
2003,0,42765,4009023664167959
29,18,896,3619619912565152
651,1,633967,3660054915795936
1982,0,97460,4006737994520230
341,1,1866,3548811810748702
351,0,5434,3870249717398372
270,1,9728,3521281633169412
29,0,896,3684820066384468
652,3,2008434,4009987116274756
106,1,3632,3829634321920194
353,2,17076,4010129533861172
580,3,405589,4010261268439881
182,0,8128,3663688076547633
2000,1,184403,3842859138569207
1971,2,9840,3451758628374833
1882,0,53365,3885211467520107
774,55,23753335,4010110890296316
146,0,2127,3702176827149400
1159,13,3679144,4009399397144992
74,1,3077,3390275668364304
1886,1,236239,4008322896145782
356,3,85152,4009518650094538
144,0,320,3443823676032364
55,0,3962,3975809532931823
299,0,3254,4007032007201294
2001,5,6535,4009488833019866
1663,780,20091756,4010136970806443
1737,34,1177417,4010293091229303
570,314,11281078,4010108343940994
113,0,35716,3963017182199944
902,3,552844,4010223884359682
218,0,2266,3978548148341309
1054,1,7252,3531901689676421
177,0,260098,4007988447095600
467,5,233516,4010111549293302
171,659,2087849,3955229143446986
391,1,59847,3863514223617402
44,0,13865,4007608652181202
54,1,1741,3694510482575841
319,0,4891,3686577894957025
1184,7,2513646,4010000017968195
3,0,21520,3606795870523760
184,0,20918,3945349217039436
1172,10,958231,4009720954643843
425,0,20310,3823484440027343
617,13,1213,3758814002627970
783,50,62665,3483710407870599
718,1,98305,4010262451270203
493,0,2653,3973132232026469
207,2,71863,3995588557608620
204,0,130258,4009944795388322
286,0,3037,3702560064175996
1054,1,7252,3537206234383265
1955,1397,47846058,4006211957233342
303,0,16212,3971844397067945
253,3,799,3959452493028870
190,2,5731,3597712748594997
211,6,1185782,4009959899398305
1057,34,1973439,3997163577042830
69,0,4469,3728513854954466
2006,8,157850,4009472936214697
356,22,1764842,4009386118600020
2190,0,10950584,3543932392468494
901,21,281579,3950733135348524
1305,2,221736,4007230074552946
228,1,885,3652088452437551
550,0,5920,4001868441368172
299,0,3254,4009492532848047
962,33,2164104,4010119212101637
613,0,12088,3842439338929899
1889,2,1389364,4009404522689069
1956,352,47857164,4008802225393099
1660,0,28591,3662267848043197
272,18,21395,4008475324965086
108,0,446,3658939323033274
800,8,417612,4008823406445776
1012,0,139976,4009813350664150
149,0,4377,3657612224258298
410,0,6759,3683974125541338
493,0,2653,3973127828034698
1766,0,4090,3852135924348115
297,2,1128579,4009861786390556
143,1,30081,3651809757281030
27,0,2782,3434336495682256
2025,4,2640397,3519068172215145
520,6,134720,4009418628917540
317,0,4794,3804271609116802
1245,0,1290337,4010171681758684
551,1,51723,4009784883760580
106,0,70838,3852633544690293
787,39,6271607,3976054227586476
1013,0,68217,3973140335392903
137,0,49405,4009049856788991
