歌曲ID,歌单标题,创建者昵称,创建者id,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
6842263243,Trap Rap ｜ 懒惰迷幻的宝藏说唱,这条平凡的狗_QwQ,109390499,介绍：	说唱音乐的风格分为很多种，包括Old School、New School、硬核说唱（Hardcore Rap）、Latin Rap（拉丁说唱 ）、黑帮说唱 (Gangsta Rap)等等，特别是在说唱的发源地美国，这里几乎每个地区都有代表自己的旗...	,80,2023377,32663,341,89
4867926094,日语说唱丨来自东瀛Rapper的Swag态度,丨IIIIIIIIII丨,485543957,介绍：	“情绪是信念的投影”		有一种嘻哈叫“日式Hip-Hop”。 日本Hip-Hop并非是独立诞生与发展的，它与其它街头时尚、电影、漫画等形式的文化有着不可分割的关系。		很多rapper都像古时的诗人，他们用自己的眼睛...	,248,639641,15080,307,132
5263926554,厂牌精选 | Empire Distribution,云音乐说唱专区,3856379473,介绍：	Empire Distribution	创建年份：2010	创建者：Ghazi Shami	音乐风格：以说唱为主	总部：旧金山	,47,30478,477,3,5
6914226430,伤感情歌 | 上一次放声大哭是为了你,mcgl41,5068666252,介绍：	突然想找你聊天 打开窗口 突然发现上次结尾是我 你没有回 欲言又止	,116,719710,10877,255,27
7058541205,快节奏 起床 化妆 赶时间用|欧美Rap,爱琳Irrintius,5202482440,介绍：	快节奏 赶时间	,22,161623,5,209,评论
6723502234,很屌的trap,_Yohan,254493389,介绍：	感谢收藏，这里都是你想要的		,136,1925847,26102,176,73
2049779104,辣妹听hiphop!!,CreepyCreepyCreepy,396664333,介绍：	[持续更新]		Close your eyes count to seven	And then You will be in heaven		谁说小姐姐不听说唱？	,270,2508346,56406,1288,152
6623345789,『 海浪遇見黄昏变成粉紅色.』,绉州,1739759477,介绍：	原来和喜欢的人说话 连声音也会偷偷变温柔.	,7,412610,4180,61,57
2623526205,灵魂伴侣姜云升,赴锦程,1513036920,介绍：	“喜欢姜云升就是同龄的女孩子喜欢的男生在球场挥洒汗水而我的男孩在地下八英里诉说他的曾经”		-	关于姜云升		个人	1.1996年出生阳历6月1日阴历四月十六双子座	2.云南昆明人	3.是Battle MC	4.拥有道士证的...	,64,714767,19585,251,159
6600113633,情话Rap|撩人心律,dazzd,381977701,介绍：	上榜请私信	,17,1077980,3334,3612,328
2155383482,正宗好货 | 请打开随机播放收听,3岁不是坏男孩,599886480,介绍：	纯正好货哈（持续更新）	歌单前三位可能会有推广，请理解	喜欢的请收藏关注一波，谢谢啦	也欢迎大家投稿	,582,1919157,35299,532,304
4952648595,【歐美】Trap/旋律說唱（切歌算我輸）持更,FsioruniQ,617551574,介绍：	Travis Scott，Gunna，6ix9ine，Tyga，Melly，Lil skies，lil xan，x，drake，kanye等，会更新（都是旋律性极强的歌曲，请用身体融入这个歌当中，有很多风格哦。）	,240,353050,6914,61,60
5241848343,嘻哈|XXL评选年度最强新人合集,索尼音乐娱乐,1718995,介绍：	★权威嘻哈文化杂志XXL 2020年度最强新人XXL Freshman Class 2020名单近日正式公布，Polo G，Lil Tjay，Mulatto，24KGoldn，Calboy，Fivio Foreign等索尼旗下嘻哈新秀赫然在列。	,26,168351,1416,32,25
2522899852,僵尸（姜云升）,三思_buzzy,1534146255,介绍：	鱼儿见识了巨龙的活法心中怎么可能甘愿遗憾呢	,47,680524,12857,74,59
6600139702,甜系rap|走心说唱,dazzd,381977701,介绍：	上榜请私信	,17,215181,3353,3583,312
2897918638,甜度99% | 饶舌歌手藏在星河里的浪漫,名侦探-柯北,44530116,介绍：	我理想的爱情：		一屋两人	三餐四季	狗在跑，	我在闹，	他在笑。		最初喜欢于样貌，	然后却沉溺于才情，	最后折服在于三观。		有钱，有爱，有孩子	他不出轨，	我不出轨，	就足够了。	醒同笑睡同床	生同房死...	,114,1857563,20923,272,84
6611168504,这里有你喜欢的欧美嗓音,Zxy在向下扎根,443546368,介绍：	RAP是美国黑人音乐中的重要组成部分，是街头文化的主要基调，是世界流行音乐中的一块“黑色巧克力”。精心收集了欧美流行说唱，好听的RAP让你一次听个够。	,34,170531,6867,2755,1
6972097062,ak1r hip-hop Music,先有趣,74141482,介绍：	Hip-hop音乐是最直接的表达方式	,22,7772,93,0,1
6952219126,午 夜 失 眠 俱 樂 部 「拒绝Emo」,马可波罗堡-,4970468530,介绍：	午 夜 失 眠 俱 樂 部 「拒绝Emo」		再也不要Emo了 		要好好学习，好好吃饭，好好工作，好好变成最好的样子		每一首都是治愈Emo的兴奋剂	,82,661192,18045,287,12
6600201291,甜味rap|情歌专场,dazzd,381977701,介绍：	上榜请私信	,16,140828,3503,3572,333
5310111557,伤感说唱rap | 忘了是怎么开始,见青山t,1358261208,介绍：	你完美地躲过了所有正常操作		所以 该怎么找到你？	,73,1822612,15285,1232,52
6607570431,制造浪漫|情歌rap,dazzd,381977701,介绍：	上榜请私信	,15,133302,762,1039,评论
=537367797,辣妹必备做个酷girl♥,kkkbaby_,357091992,介绍：	辣妹必备哦 超好听超拽！	辣辣辣 下个辣妹就是你啦❦	,1447,1768337,30690,337,126
6793847584,姜云升较全歌单,想摸摸汤臣一品,1851332769,介绍：	先下载再听！先下载！下载！下载！		这个歌单收集了很多姜鸽流落在外的歌和demo，也下架了很多，且听且珍惜！不定时更新，确定不收藏？	,85,560917,11991,122,64
5059330232,スカー藩主 SCARLXRD,IvorVincent,66640901,介绍：	Trap Metal（也被称为 ragecore， hardcore trap， industrial trap 和 scream trap）是一种融合了 Trap 音乐和重金属元素以及其他类型元素的音乐流派，如工业音乐（Instructial）。		它同 trap 一样，拥有诡...	,30,123327,2490,7,13
6860422178,伤感/Emo说唱/Sad,KIND_CL,354868458,介绍：	什么叫快乐?就是掩饰自己的悲伤对每个人微笑。		SAD: 	悲哀的;难过的;让人无法接受的;该受责备(或批评)的		EMO：全称Emotional Hardcore，中文名称情绪硬核。最初是从Hardcore Punk中派生出来的一种有着艺...	,138,1828127,10852,1366,59
6775976497,【欧美】深情说唱•将爱意投放进音乐和酒精,LiLaCphoria伊柾,409028007,介绍：	多亏还有音乐和酒精，		不然人类澎湃的爱意该往哪里投放。		酒能在高兴时助兴，在悲伤时解忧。		在无心睡眠时带来一场酣梦，		在灵感枯竭时带来酒兴。		生命注满了爱，犹如酒杯斟满了酒。		我醉与不醉是在...	,48,394760,4820,97,32
2841424429,脏标E大赏【续更】,Linskual,534084850,介绍：	E就是explicit		代表这首歌带脏话且没消音		歌词露骨		看起来酷		听起来更酷		嘻哈中很常见		翻译也调皮的不行		ps：		续更		顺便普及一下其他歌名后缀的意思：		acoustic- 不插电版本		remix- 授权的改编...	,2930,2199454,46181,730,543
6818649749,Swingman_z0,Swingman_z0,330933348,介绍：	I dreamed of death drunkenness in music.	,303,542332,29422,148,147
6759590679,【新疆Young Flow】Eskender-uxxak,Ruzaliy-,1497910647,介绍：	新疆Young Flow uxxak	,40,80407,1039,0,2
2477863140,那些好听到爆炸的说唱啊,我没有熬夜,406730196,介绍：	我们都在奔赴各自不同的人生中忙碌.	,322,1786597,26182,201,101
5362903127,总有一首感情激烈的说唱会让你热泪盈眶,JealousBoy,516122350,介绍：	听说唱不只要听旋律、韵脚、Flow，	更重要的是要了解这首歌的歌词。		也许说唱歌手	吐露心声，	示爱家人，	感恩社会，	诉说苦闷……		如果了解了一首感情激烈的说唱，	或许你会为之所动，	甚至热泪盈眶……...	,45,92104,896,29,14
3215209929,$殺気爆棚 超凶trap$,psy_扭不开的奥利奥,323774211,介绍：	开启照明弹，把他们射成肉泥	,66,404542,5720,112,18
4869244294,New wave/Emo+二次元Rap+亚trap+2d旋律说唱,SunnBoibaby,1374872338,介绍：	(｡•́__ก̀｡)纯正口味 可抑可摇 随机播放 多国语言 持续更新	,427,271348,10195,163,92
6918157634,『旋律说唱』藏不住的甜蜜与心动,小软溪,1418990258,介绍：	我不是你第一个喜欢的人	不是你第一个牵手拥抱亲吻的人	但我希望我可以是	你遇到痛苦第一个想倾诉的人	遇到快乐第一个想分享的人	遇到挫折第一个想要依靠的人	我可以是你今生第一个相伴到老的人	,33,489483,746,3,评论
2311480037,DRB-ヒプノシスマイク-公式（持续更新）,万事胜意_鸦,587531866,介绍：	音楽原作キャラクターラッププロジェクト『ヒプノシスマイク』1st Full ALBUM 発売中5th2020年3/28.29メットライフドーム過去の WEB 記事はファボ覧に		*中王区*		±東方天乙統女OTOME TOHOTEN	CV：小林ゆう...	,144,1751756,29363,527,247
5070814755,bbno$ 魔兽世界游戏时间专属BGM,bbnomula,431485155,介绍：	the music i listen to when i play world of warcraft hhhhh wo a ni 我在玩魔兽世界时听的音乐 哈哈哈哈哈 我wo 爱a 你ni	,37,247105,3456,89,349
5203647472,火爆的 | 中文说唱你值得拥有,圈圈的呆子,430376515,介绍：	听就完事了，别bb	爆不爆我说了算	听吧 粗暴一些	,37,479655,6022,321,1
6971534393,超好听浪漫的旋律说唱,少女的喜欢_,3277385997,介绍：	注意事项:请保持快乐	,185,260533,18121,18,7
5468127585,带你发掘宝藏歌曲✨,舰长_L,569343984,介绍：	999+助力歌单☀️	为你提供优秀的中文小众歌曲	入单请私信作者	,64,1687446,19856,30,10
6607580431,爱一个人很难|情歌rap,dazzd,381977701,介绍：	上榜请私信	,15,81214,924,931,1
2679916677,『Melodic Rap』 | 令人沉醉的旋律说唱 |,HsiungTheKid,358740898,介绍：	本歌单为Melodic Rap爱好者量身定制。	Melodic Rap（旋律说唱）作为当下十分火热的说唱形式和说唱发展的未来，以抓耳的旋律以及引人入胜的flow而著称，首首精选，持续更新。	（本歌单目前暂时不接受音乐人...	,372,4084165,64300,874,328
7086586403,「说唱hiphop 【中文精选】Made in China,-烦恼的蒙太奇-,484356241,介绍：	喜欢的宝宝点个收藏会持续更新可以接受推广与合作	,680,187289,14198,30,4
5214554067,青春迷宫丨爱之龙卷风丨hiphop录音棚,MiserC,552899711,介绍：	爱情不止眼前的悲伤，也有热恋的欢愉～（持续更新）	,160,1673737,17697,16,22
6600147568,甜到你心里|rap15首,dazzd,381977701,介绍：	上榜请私信	,17,177251,3294,3572,352
2873336061,Hip-Hop旋律说唱，听你诉说这个世界,原点FM,247176530,介绍：	旋律性的说唱歌曲应该能引起很多共鸣，好听又有态度的音乐，歌词虽然有很多露骨，却以柔情的方式述说自己的态度和经历，甚至是最真实的自己，揭露的是最现实的世界，这也是Hip-Hop最有魅力的地方吧	,52,3188421,52185,623,291
7084684333,大概率她根本不会想起你,和你双排就像坐牢,3945890916,介绍：	为什么你还是常常出现在我的梦里……	,129,138292,13353,9,6
=817194122,让人想恋爱的超甜rap,是你的橘子O,291447769,介绍：	在吗？有个甜甜的恋爱想跟你谈一下	,790,1653057,21841,310,88
6614100004,北京HARDWAY成员精品歌单,T-Bet_,1365862981,介绍：	会持续增添成员推出新作品，敬请期待(｡ì _ í｡)	,13,107741,1077,820,评论
2834027258,rapper说情话!藏在宇宙星河里的浪漫,顾柒柒不难过,346769611,介绍：	前方高能预警！rapper 要开始说情话啦，这份高甜的rap合集请注意查收。	希望你的梦里有甜甜的大白兔奶糖，有不会融化的草莓冰淇淋，有温度刚好的安慕希，有刚新鲜出炉的大肉包，有新鲜的苹果汁，有黏黏的香...	,347,2102564,29573,316,141
2420981951,催眠麦克风DRB〔不含drama〕,入間-銃兎,324592005,介绍：	前面按各个组的顺序排的\(//∇//)\后面按照出碟的顺序添加，越新的曲子就是越顶上的～		简介（以下来自百度词条）		催眠麦克风(日文:ヒプノシスマイク–Division Rap Battle)是一个由KING RECORDS和EVIL L...	,89,1605073,27225,411,185
6945815983,rapper的骚情话【持续更新】,Cast-Off-Music3,4987484153,介绍：	没有完美的开始，只有just do it！	,30,121231,2133,220,4
5295292555,- Rap『恶 魔 果 实』,3shMoneyAp,449479492,介绍：	不客观目录，喜欢就多听点，纯属个人喜好	,513,1564740,23553,597,18
5069682147,每日一首小众歌,艾木皮三,1340526200,介绍：	每日一首小众歌 每日更新 欢迎投稿哦	,474,1594372,23210,346,161
6734203819,【维吾尔族说唱】UyGur Rap』,beatport乐,127574927,介绍：	维吾尔族说唱集 继续更新 ·	维吾尔族最火的rap 说唱集	,425,150010,946,11,2
3086778637,注入灵魂|当神级说唱遇上天籁HOOK,Unexplainable,453046904,介绍：	麻神+断眉	阿姆+日日	枪爷+卡妹	逻辑哥+毛刷	逻辑哥+共和	阿姆+麻辣鸡	卡迪 B+魔力红	机翼+凯拉尼	马龙+Young Thug	枪爷+BeBe	枪爷+Yungblud	XXX+马鹿马	一鸡+洗茶	麻辣鸡+小混混	DJ 景甜+比伯	机翼+猴西	...	,39,1836578,33554,304,217
5305929925,说唱 ｜ 只要笑一笑 没什么事情过不了,煎妮BoBo,395063023,介绍：	天空是绵绵的糖	就算塌下来又怎样	只要笑一笑	没什么事情过不了		原歌单名：	记得把平凡的日子 过得浪漫些	,47,1586790,14578,248,112
2644743965,【海外说唱】超级好听英文Rap歌单,棉花糖Edm,357701301,介绍：	多以西海岸说唱为主，只是选择性挑自己喜欢的歌进歌单。（随机播放，惊喜不断.）（喜欢就收藏，爱就分享.）不固定更新哈。	,148,721348,10120,86,106
6614637277,《高等rapper4》| 比赛Beat/BGM/音源大收录,幻境少女文知绣,45373159,介绍：	泡粉盛宴之高等rapper4开赛，强大导师团坐镇开启黑泡盛宴。		第一组:Simon Dominic & Loco	第二组:Changmo & Way Ched	第三组:The Quiett & YUMDDA	第四组:Jay Park & pH-1 & WOOGIE		节目已开播，相关曲目...	,85,44438,726,3,7
6691386204,我和你有一个共同点，就是都很喜欢你,饼饼今天学习了嘛,1685802164,介绍：	我和你有一个共同点，就是都很喜欢你。Yic	,100,1492568,48116,2175,9
6663187462,EMO Rap |情绪说唱| New wave | 丧,Judith_ANGEL,485795511,介绍：	坏情绪都是难免的，但生活还是要继续的，早日康复	,965,1190247,169237,1806,20
6945819874,【RAP】甜到炸裂,Cast-Off-Music3,4987484153,介绍：	时光温柔，还需你懂。生活可爱，也要你宠。	,33,175310,2597,219,4
5323122346,Hiphop（ Trap | melodic rap旋律说唱 ,秋chill的首席推歌官,413345699,介绍：	抖音:香菜小绿 无脏标E不歌单	Hiphop歌单 不都是trap	别说这首不是旋律 那首不是trap了	gfunk jazzhiphop gansta都有	会根据自己近期喜好排序 歌单禁止搬运 ———————————————————— ——...	,810,1393277,20946,299,97
2688991686,那些酒吧里放的特别拽的歌曲$,2-5R,438047742,介绍：	在酒吧里听过但是你不知道歌名的那些歌	,135,444052,5999,70,59
6607455740,你是唯一|情歌rap,dazzd,381977701,介绍：	上榜请私信	,16,60449,651,776,评论
=990015063,尝一口你就知道敲甜的rap［情歌2.0］,Aloneha,273860793,介绍：	吃到了一颗好吃的糖 想跟你的嘴分享	,132,1358626,17068,186,52
2621595367,40首「硬核」健身【核精神氮泵】,Rabbit-Run-,316039327,介绍：	歌曲都是我平时健身听的	dubstep rap 旋死 重金属	喜欢的小伙伴们点个收藏	我们深蹲到天亮		,42,689810,6965,54,80
